"Episode","Step","State","Demand","Action","Next_State","Reward","Penalty","Done","Existing_Policy"
1,1,50,14,0,36,182,18,FALSE,"Order Low"
1,2,34,28,40,46,137,63,FALSE,"Order Medium"
1,3,70,32,10,48,136,64,FALSE,"Order High"
1,4,33,22,0,11,194.5,5.5,FALSE,"Order Low"
1,5,22,21,30,31,144.5,55.5,FALSE,"Order High"
1,6,61,24,30,67,126.5,73.5,FALSE,"Order Medium"
1,7,69,13,20,76,122,78,FALSE,"Order Medium"
1,8,73,15,10,68,126,74,FALSE,"Order High"
1,9,62,12,30,80,120,80,FALSE,"Order Low"
1,10,56,9,20,67,126.5,73.5,FALSE,"Order Low"
1,11,71,33,20,58,131,69,FALSE,"Order High"
1,12,33,10,10,33,143.5,56.5,FALSE,"Order High"
1,13,73,14,0,59,170.5,29.5,FALSE,"Order Medium"
1,14,44,30,30,44,138,62,FALSE,"Order High"
1,15,45,13,40,72,124,76,FALSE,"Order High"
1,16,46,15,40,71,124.5,75.5,FALSE,"Order High"
1,17,24,10,40,54,133,67,FALSE,"Order Low"
1,18,70,36,40,74,123,77,FALSE,"Order Low"
1,19,46,16,10,40,140,60,FALSE,"Order High"
1,20,76,23,10,63,128.5,71.5,FALSE,"Order Low"
1,21,47,31,40,56,132,68,FALSE,"Order Low"
1,22,76,36,20,60,130,70,FALSE,"Order High"
1,23,28,31,0,0,182,18,FALSE,"Order Medium"
1,24,48,34,10,24,148,52,FALSE,"Order Medium"
1,25,54,8,10,56,132,68,TRUE,"Order Low"
2,1,27,28,40,39,134.5,65.5,FALSE,"Order Medium"
2,2,45,32,40,53,133.5,66.5,FALSE,"Order High"
2,3,26,7,0,19,190.5,9.5,FALSE,"Order Low"
2,4,61,10,0,51,174.5,25.5,FALSE,"Order Low"
2,5,28,40,10,0,88,112,FALSE,"Order Low"
2,6,38,34,10,14,153,47,FALSE,"Order Low"
2,7,55,14,10,51,134.5,65.5,FALSE,"Order Low"
2,8,33,29,20,24,148,52,FALSE,"Order Low"
2,9,36,40,20,16,128,72,FALSE,"Order Medium"
2,10,62,29,40,73,123.5,76.5,FALSE,"Order Medium"
2,11,58,8,0,50,175,25,FALSE,"Order Medium"
2,12,72,19,20,73,123.5,76.5,FALSE,"Order High"
2,13,31,26,10,15,152.5,47.5,FALSE,"Order Medium"
2,14,34,28,40,46,137,63,FALSE,"Order Medium"
2,15,51,19,0,32,184,16,FALSE,"Order Medium"
2,16,61,20,20,61,129.5,70.5,FALSE,"Order Low"
2,17,64,23,10,51,134.5,65.5,FALSE,"Order Medium"
2,18,26,12,30,44,138,62,FALSE,"Order High"
2,19,28,35,0,0,158,42,FALSE,"Order Low"
2,20,60,20,0,40,180,20,FALSE,"Order High"
2,21,29,13,20,36,142,58,FALSE,"Order High"
2,22,42,15,10,37,141.5,58.5,FALSE,"Order High"
2,23,46,34,0,12,194,6,FALSE,"Order Low"
2,24,79,14,10,75,122.5,77.5,FALSE,"Order High"
2,25,72,38,20,54,133,67,TRUE,"Order Medium"
3,1,26,24,10,12,154,46,FALSE,"Order Low"
3,2,72,18,30,84,118,82,FALSE,"Order High"
3,3,46,10,30,66,127,73,FALSE,"Order Medium"
3,4,51,22,10,39,140.5,59.5,FALSE,"Order Medium"
3,5,57,6,0,51,174.5,25.5,FALSE,"Order High"
3,6,44,12,10,42,139,61,FALSE,"Order High"
3,7,53,15,20,58,131,69,FALSE,"Order High"
3,8,48,25,30,53,133.5,66.5,FALSE,"Order Low"
3,9,24,11,40,53,133.5,66.5,FALSE,"Order Low"
3,10,27,27,20,20,150,50,FALSE,"Order High"
3,11,31,12,20,39,140.5,59.5,FALSE,"Order High"
3,12,32,14,10,28,146,54,FALSE,"Order Low"
3,13,37,21,20,36,142,58,FALSE,"Order High"
3,14,52,10,30,72,124,76,FALSE,"Order Medium"
3,15,76,10,0,66,167,33,FALSE,"Order High"
3,16,46,32,20,34,143,57,FALSE,"Order High"
3,17,44,36,10,18,151,49,FALSE,"Order Low"
3,18,57,39,0,18,191,9,FALSE,"Order Low"
3,19,40,32,40,48,136,64,FALSE,"Order Low"
3,20,34,24,30,40,140,60,FALSE,"Order Low"
3,21,60,5,40,95,112.5,87.5,FALSE,"Order Medium"
3,22,66,9,10,67,126.5,73.5,FALSE,"Order Medium"
3,23,45,15,10,40,140,60,FALSE,"Order High"
3,24,79,24,0,55,172.5,27.5,FALSE,"Order High"
3,25,50,6,20,64,128,72,TRUE,"Order Medium"
4,1,35,14,20,41,139.5,60.5,FALSE,"Order Low"
4,2,71,11,40,100,110,90,FALSE,"Order Low"
4,3,49,40,20,29,145.5,54.5,FALSE,"Order High"
4,4,25,27,20,18,139,61,FALSE,"Order Medium"
4,5,62,38,30,54,133,67,FALSE,"Order Low"
4,6,27,28,20,19,144.5,55.5,FALSE,"Order Low"
4,7,41,8,20,53,133.5,66.5,FALSE,"Order Medium"
4,8,41,33,0,8,196,4,FALSE,"Order High"
4,9,58,27,0,31,184.5,15.5,FALSE,"Order Low"
4,10,50,15,30,65,127.5,72.5,FALSE,"Order Medium"
4,11,67,37,30,60,130,70,FALSE,"Order Low"
4,12,36,7,40,69,125.5,74.5,FALSE,"Order Medium"
4,13,73,37,30,66,127,73,FALSE,"Order High"
4,14,69,34,0,35,182.5,17.5,FALSE,"Order Medium"
4,15,68,38,20,50,135,65,FALSE,"Order Low"
4,16,53,6,20,67,126.5,73.5,FALSE,"Order High"
4,17,23,24,40,39,134.5,65.5,FALSE,"Order High"
4,18,32,18,0,14,193,7,FALSE,"Order Low"
4,19,24,29,20,15,122.5,77.5,FALSE,"Order Medium"
4,20,73,11,0,62,169,31,FALSE,"Order Low"
4,21,70,39,20,51,134.5,65.5,FALSE,"Order Low"
4,22,44,35,30,39,140.5,59.5,FALSE,"Order Low"
4,23,71,26,40,85,117.5,82.5,FALSE,"Order High"
4,24,41,20,10,31,144.5,55.5,FALSE,"Order High"
4,25,44,26,40,58,131,69,TRUE,"Order Medium"
5,1,51,33,40,58,131,69,FALSE,"Order Medium"
5,2,65,37,30,58,131,69,FALSE,"Order Medium"
5,3,44,35,20,29,145.5,54.5,FALSE,"Order High"
5,4,42,12,30,60,130,70,FALSE,"Order Medium"
5,5,54,28,10,36,142,58,FALSE,"Order Low"
5,6,59,34,40,65,127.5,72.5,FALSE,"Order Low"
5,7,67,27,30,70,125,75,FALSE,"Order Low"
5,8,49,36,30,43,138.5,61.5,FALSE,"Order Low"
5,9,31,21,40,50,135,65,FALSE,"Order High"
5,10,50,30,30,50,135,65,FALSE,"Order Medium"
5,11,76,27,20,69,125.5,74.5,FALSE,"Order Medium"
