"Session_ID","Round","Algorithm_Used","Arm","Device_Type","Time_of_Day","Reward","True_CTR","Cumulative_Reward","Regret","Cumulative_Regret"
1,1,"Random (Pure Exploration)","Ad_A","Tablet","Morning",0,0.05,0,0.07,0.07
2,2,"Random (Pure Exploration)","Ad_A","Tablet","Morning",0,0.05,0,0.07,0.14
3,3,"Random (Pure Exploration)","Ad_B","Desktop","Evening",0,0.08,0,0.04,0.18
4,4,"Random (Pure Exploration)","Ad_B","Desktop","Morning",0,0.08,0,0.04,0.22
5,5,"Random (Pure Exploration)","Ad_A","Desktop","Evening",0,0.05,0,0.07,0.29
6,6,"Random (Pure Exploration)","Ad_C","Mobile","Evening",0,0.12,0,0,0.29
7,7,"Random (Pure Exploration)","Ad_C","Tablet","Evening",0,0.12,0,0,0.29
8,8,"Random (Pure Exploration)","Ad_A","Tablet","Afternoon",0,0.05,0,0.07,0.36
9,9,"Random (Pure Exploration)","Ad_B","Mobile","Afternoon",0,0.08,0,0.04,0.4
10,10,"Random (Pure Exploration)","Ad_B","Desktop","Morning",0,0.08,0,0.04,0.44
11,11,"Random (Pure Exploration)","Ad_C","Mobile","Morning",0,0.12,0,0,0.44
12,12,"Random (Pure Exploration)","Ad_A","Desktop","Morning",0,0.05,0,0.07,0.51
13,13,"Random (Pure Exploration)","Ad_C","Tablet","Morning",0,0.12,0,0,0.51
14,14,"Random (Pure Exploration)","Ad_A","Desktop","Afternoon",0,0.05,0,0.07,0.58
15,15,"Random (Pure Exploration)","Ad_A","Mobile","Morning",0,0.05,0,0.07,0.65
16,16,"Random (Pure Exploration)","Ad_D","Tablet","Afternoon",0,0.1,0,0.02,0.67
17,17,"Random (Pure Exploration)","Ad_D","Mobile","Morning",0,0.1,0,0.02,0.69
18,18,"Random (Pure Exploration)","Ad_C","Mobile","Morning",0,0.12,0,0,0.69
19,19,"Random (Pure Exploration)","Ad_A","Desktop","Morning",0,0.05,0,0.07,0.76
20,20,"Random (Pure Exploration)","Ad_D","Tablet","Evening",0,0.1,0,0.02,0.78
21,21,"Random (Pure Exploration)","Ad_C","Tablet","Morning",0,0.12,0,0,0.78
22,22,"Random (Pure Exploration)","Ad_B","Desktop","Evening",1,0.08,1,0.04,0.82
23,23,"Random (Pure Exploration)","Ad_D","Desktop","Afternoon",1,0.1,2,0.02,0.84
24,24,"Random (Pure Exploration)","Ad_D","Mobile","Afternoon",0,0.1,2,0.02,0.86
