Traffic_Density,Queue_Length,Waiting_Time,Arrival_Rate,Average_Speed,Outflow_Rate,Congestion_Index,Severity_Level
61.81,7.83,115.94,7.74,16.7,49.89,20.71,Low
138.45,62.28,23.88,33.16,68.67,40.17,30.91,Medium
109.36,33.29,36.67,33.65,42.84,26.57,21.46,Low
91.62,50.77,158.26,38.78,63.72,56.83,13.25,Low
32.75,86.68,110.06,43.48,30.8,49.08,16.22,Low
32.75,27.44,11.52,56.72,68.21,17.76,47.85,High
19.73,41.93,26.74,32.36,35.3,62.66,24.19,Medium
127.2,73.0,119.48,22.12,10.7,57.35,38.88,Medium
91.95,25.59,10.84,47.14,68.85,64.99,51.82,High
106.17,11.93,36.53,19.35,15.93,51.54,69.21,Critical
14.74,31.08,100.54,28.27,30.76,44.8,8.66,Low
141.0,19.51,124.16,9.16,71.75,33.09,79.35,Critical
122.71,88.67,117.57,6.34,71.79,63.96,63.39,Critical
40.24,77.73,47.0,56.02,47.27,59.96,12.6,Low
36.18,62.01,127.51,49.31,51.07,10.71,86.24,Critical
36.39,83.43,49.15,41.89,39.15,9.58,90.64,Critical
52.46,77.33,63.69,26.67,29.06,30.59,10.68,Low
81.79,21.79,133.17,14.18,31.36,56.63,30.75,Medium
69.45,85.33,117.19,13.29,53.71,67.24,79.98,Critical
50.73,53.54,150.12,18.26,58.9,17.03,74.59,Critical
93.38,77.67,118.51,34.11,61.45,43.65,22.16,Low
30.55,85.65,103.77,42.87,61.33,30.85,24.47,Medium
50.86,33.62,25.46,39.99,15.93,66.19,39.45,Medium
60.73,14.9,70.67,19.84,42.14,58.53,50.06,High
72.66,25.51,53.76,55.61,13.74,58.3,62.5,Critical
116.43,43.44,50.26,44.11,45.72,36.12,39.31,Medium
38.56,78.62,170.55,34.38,38.7,32.89,48.02,High
80.39,82.47,74.86,37.42,67.7,24.4,74.51,Critical
90.79,5.63,157.19,27.24,32.81,11.38,8.41,Low
18.18,50.97,114.14,18.13,17.61,59.88,28.48,Medium
92.8,42.57,141.14,23.87,19.29,56.77,71.34,Critical
34.68,24.99,92.94,45.17,59.5,67.98,88.25,Critical
20.65,15.79,105.19,5.76,50.18,67.8,52.59,High
138.2,35.39,91.27,11.15,16.57,41.33,54.49,High
140.43,89.86,42.22,7.44,15.47,54.14,14.97,Low
119.52,34.09,129.2,7.16,55.56,64.69,46.61,High
52.51,51.69,56.33,50.34,14.73,58.98,54.53,High
24.99,68.27,14.01,42.29,63.42,22.84,27.55,Medium
103.0,37.73,116.5,30.13,55.91,35.03,30.04,Medium
70.54,92.46,39.22,10.19,15.29,15.75,40.09,Medium
28.23,91.62,165.18,31.06,15.51,65.24,6.87,Low
77.86,27.66,167.4,30.09,74.13,44.37,34.95,Medium
16.57,49.75,160.95,14.18,34.33,21.72,24.66,Medium
132.94,32.08,71.08,27.99,34.09,48.3,35.46,Medium
46.42,30.64,12.55,26.12,62.83,45.09,16.14,Low
100.12,8.32,163.17,37.64,71.57,29.49,87.82,Critical
53.46,59.86,80.65,38.66,74.09,14.81,60.2,High
81.17,50.24,169.5,7.4,58.97,48.29,68.16,Critical
84.71,9.63,169.0,24.85,34.46,39.22,78.39,Critical
36.59,30.08,150.75,38.17,15.43,54.34,51.36,High
140.95,86.74,58.58,31.67,60.51,39.21,13.08,Low
115.09,26.56,73.54,50.39,46.3,59.13,54.95,High
136.95,18.04,150.44,39.91,37.57,41.11,59.58,High
131.01,49.05,62.29,13.64,68.91,41.66,74.33,Critical
91.52,93.71,37.97,8.74,17.23,60.6,45.14,High
134.61,26.78,101.87,39.05,42.02,32.21,16.86,Low
23.77,65.49,164.47,6.41,10.74,16.04,31.39,Medium
38.07,73.55,124.84,36.05,40.46,9.73,38.77,Medium
18.02,26.39,104.06,54.83,13.66,53.31,65.07,Critical
55.27,70.54,26.03,35.5,17.72,45.22,58.08,High
63.69,38.1,111.48,25.57,17.64,50.24,38.12,Medium
48.09,61.91,173.36,39.09,52.2,20.78,96.75,Critical
122.22,62.02,33.11,29.29,58.49,16.18,61.34,High
59.45,53.22,95.52,33.92,47.92,8.87,27.06,Medium
49.36,13.13,154.77,54.9,72.54,29.04,14.47,Low
84.18,80.18,132.23,25.46,34.37,43.4,19.22,Low
30.74,33.87,125.01,55.94,28.57,31.53,27.87,Medium
118.69,21.79,125.91,52.98,66.46,34.25,19.94,Low
21.92,8.67,69.32,15.38,24.53,62.25,22.35,Low
143.26,58.18,58.44,8.68,72.61,28.9,31.51,Medium
114.71,65.98,143.54,10.34,10.79,38.84,21.12,Low
38.43,6.49,143.67,5.97,73.04,55.02,88.4,Critical
12.73,51.09,153.07,10.01,12.81,31.79,12.46,Low
120.46,25.38,160.68,41.2,67.92,45.33,53.78,High
106.01,63.07,94.37,8.77,44.3,59.74,43.17,High
108.96,20.69,92.75,21.91,74.54,64.97,96.36,Critical
114.58,67.18,141.72,49.78,14.8,16.82,15.42,Low
21.85,39.81,117.24,6.23,46.0,63.6,42.0,High
59.68,89.31,125.82,48.17,73.0,37.53,95.16,Critical
27.41,17.38,141.31,19.94,44.0,23.49,85.49,Critical
126.79,35.7,156.85,11.26,50.91,35.55,80.99,Critical
94.9,15.21,65.77,41.93,55.22,66.8,28.98,Medium
56.01,88.22,71.97,38.33,39.55,37.56,20.89,Low
20.45,83.96,25.51,51.51,50.79,27.73,67.18,Critical
53.36,28.21,105.42,43.96,47.98,46.0,91.43,Critical
55.25,64.4,15.93,47.58,68.58,22.41,56.78,High
109.04,78.55,86.82,19.95,12.95,12.55,58.16,High
96.8,54.97,99.54,14.4,28.26,15.73,31.04,Medium
130.0,52.67,57.28,44.78,71.78,15.68,76.56,Critical
74.8,26.77,107.49,47.76,67.87,17.11,22.4,Low
27.91,13.38,15.03,57.5,39.62,16.33,35.1,Medium
106.86,85.75,16.16,26.87,50.31,46.45,44.57,High
113.18,86.04,145.73,24.72,28.03,18.91,52.21,High
86.65,61.98,69.43,46.15,22.23,28.74,27.54,Medium
114.54,35.51,30.96,23.06,40.14,61.81,15.68,Low
77.67,36.43,96.17,54.33,32.97,36.44,61.79,High
81.52,70.34,137.05,50.5,47.94,48.05,31.84,Medium
68.86,85.74,45.61,27.74,15.05,18.34,59.06,High
15.38,84.84,112.78,44.8,73.34,19.54,19.36,Low
26.35,75.19,24.08,44.99,74.1,10.45,49.75,High
