Network_Latency,Buffer_Occupancy,Packet_Loss_Rate,CPU_Utilization,Bandwidth_Demand,Jitter_Queue_Delay,Quality_Score_QoS,Load_Tier
18.23,18.78,4.45,60.95,24.76,29.77,62.47,High_Load
75.04,51.66,4.14,44.12,85.84,3.26,67.24,Normal
20.34,13.8,3.84,58.87,80.03,34.07,69.73,High_Load
32.67,36.49,2.27,42.26,60.65,11.2,32.68,Normal
42.62,73.92,2.16,21.36,92.15,18.36,84.62,Low_Load
103.8,70.82,2.56,89.26,92.42,20.05,59.41,Overload
81.6,90.03,0.57,96.64,86.7,8.46,26.28,Overload
67.23,76.04,4.05,50.36,24.45,2.48,61.76,Normal
8.34,28.29,2.81,73.53,39.59,18.33,28.93,High_Load
89.38,86.92,4.47,49.98,54.0,9.95,78.18,Normal
50.42,56.94,3.15,78.35,45.54,39.61,52.79,Overload
97.24,81.82,1.66,81.2,19.06,4.32,45.51,Overload
34.26,88.41,0.86,40.56,86.32,28.18,31.24,Normal
11.54,80.46,0.3,18.6,36.21,33.05,88.83,Low_Load
104.66,43.51,1.54,97.61,38.56,21.9,24.5,Overload
30.42,60.85,1.67,73.41,79.92,15.04,69.88,High_Load
51.57,46.78,2.21,74.96,40.63,2.73,74.36,Overload
41.35,69.0,3.0,69.05,83.25,24.12,96.42,High_Load
13.82,51.2,0.48,20.44,20.56,33.15,47.69,Low_Load
101.97,20.9,1.4,19.32,79.49,9.49,71.28,Low_Load
102.63,64.77,1.0,55.66,42.79,6.29,38.43,High_Load
116.72,27.4,2.97,81.89,34.13,24.6,43.24,Overload
49.32,73.32,2.64,96.27,63.29,21.96,83.56,Overload
114.77,18.98,3.1,63.31,37.68,6.12,62.47,High_Load
56.26,10.62,1.05,22.75,67.95,23.6,20.65,Low_Load
82.02,38.43,0.2,44.04,74.44,25.96,64.14,Normal
14.49,92.39,0.27,93.26,90.37,8.77,65.6,Overload
108.17,69.58,2.11,69.43,38.77,27.03,62.8,High_Load
39.27,45.16,3.96,50.98,93.87,29.83,37.8,Normal
35.17,20.26,2.47,94.8,98.72,9.0,25.11,Overload
5.59,15.13,2.41,77.65,61.13,10.47,44.87,Overload
67.47,71.73,2.49,28.62,43.25,30.42,62.53,Low_Load
59.69,86.96,2.37,26.92,96.39,4.57,69.43,Low_Load
78.18,11.36,4.0,69.41,82.55,17.31,36.86,High_Load
117.49,59.65,1.9,96.32,60.78,32.56,76.21,Overload
109.5,71.93,3.71,82.27,71.12,13.54,23.63,Overload
109.67,34.84,3.76,74.43,85.21,5.77,47.43,High_Load
65.4,54.44,2.71,78.89,36.46,16.01,61.65,Overload
16.96,79.26,0.97,28.52,20.79,19.4,85.42,Low_Load
25.81,60.69,3.51,55.57,56.79,9.38,80.37,High_Load
114.6,42.18,0.12,65.73,50.27,1.37,69.46,High_Load
52.37,16.59,0.33,30.72,27.46,15.21,51.35,Normal
104.48,51.39,2.66,19.48,46.49,6.06,94.83,Low_Load
82.3,49.8,1.21,36.71,55.07,7.29,29.62,Normal
77.31,25.43,1.26,88.67,54.22,31.55,94.02,Overload
36.69,15.96,0.29,18.42,60.1,18.13,70.38,Low_Load
108.13,53.21,4.05,38.92,55.56,10.85,76.28,Normal
28.79,38.21,2.55,22.8,84.57,11.9,54.2,Low_Load
51.51,28.23,0.2,71.51,14.81,26.24,60.33,High_Load
119.26,18.05,2.62,35.92,95.99,37.0,69.2,Normal
89.61,81.22,3.19,56.07,20.42,39.86,50.05,High_Load
56.18,40.18,3.24,39.55,13.26,19.79,72.73,Normal
69.48,80.28,2.06,88.17,96.44,23.5,27.63,Overload
52.29,12.21,1.97,74.88,87.5,2.29,62.17,High_Load
