Importance_Sampling_Ratio,Policy_KL_Divergence,Clipping_Bound_Indicator,Surrogate_Objective_Loss,Entropy_Exploration_Bonus,Generalized_Advantage_GAE,Episodic_Net_Cost_Savings,Demand_Tier
1.214,0.0029,0,-0.03,0.096,0.83,190.58,Emergency
0.747,0.0089,0,0.61,0.222,2.87,86.12,Standard
1.157,0.0174,0,0.5,0.031,-0.12,113.91,Standard
0.911,0.005,1,0.76,0.11,3.36,24.68,Off_Peak
0.91,0.0006,0,0.73,0.231,3.68,41.14,Off_Peak
1.07,0.0071,1,0.67,0.277,2.02,94.25,Standard
0.932,0.0176,0,0.59,0.066,-1.46,210.35,Emergency
0.942,0.0108,0,0.54,0.184,2.77,57.31,Off_Peak
1.006,0.0083,0,-0.59,0.031,3.88,169.62,Peak_Demand
1.134,0.0057,0,-0.57,0.021,1.74,208.84,Emergency
1.295,0.0082,0,0.67,0.334,1.61,108.76,Standard
0.972,0.0096,0,0.07,0.226,1.32,210.83,Emergency
0.954,0.0037,0,-0.2,0.125,2.79,167.39,Peak_Demand
0.753,0.0171,0,-0.03,0.27,3.66,114.21,Standard
0.819,0.013,0,-0.14,0.061,0.73,53.16,Off_Peak
1.293,0.0215,1,-0.76,0.126,-0.73,83.55,Standard
1.284,0.0005,1,-0.69,0.127,3.38,161.1,Peak_Demand
1.244,0.0196,0,0.1,0.333,4.18,43.21,Off_Peak
1.094,0.0199,0,0.17,0.036,-0.08,210.52,Emergency
0.817,0.0021,0,-0.44,0.171,-2.36,167.46,Peak_Demand
1.088,0.011,1,-0.31,0.263,-1.88,124.82,Peak_Demand
0.769,0.009,0,0.14,0.257,4.26,182.81,Emergency
0.974,0.0211,1,0.63,0.118,2.21,219.75,Emergency
1.239,0.0124,0,0.79,0.217,0.43,219.45,Emergency
0.845,0.0068,0,-0.62,0.31,-1.33,86.46,Standard
1.106,0.0034,0,-0.24,0.251,0.85,98.99,Standard
1.232,0.0156,0,-0.61,0.34,2.7,174.37,Emergency
0.775,0.0091,0,0.44,0.203,4.43,102.33,Standard
1.04,0.0131,0,0.19,0.238,2.89,210.9,Emergency
0.782,0.0094,0,-0.26,0.274,3.66,168.61,Peak_Demand
0.791,0.0245,0,-0.73,0.232,1.06,41.85,Off_Peak
0.747,0.0104,1,-0.38,0.215,4.45,148.57,Peak_Demand
0.81,0.0202,0,-0.79,0.227,-0.5,34.41,Off_Peak
0.971,0.0171,0,0.62,0.291,1.5,151.14,Peak_Demand
1.189,0.0071,0,-0.53,0.277,0.85,199.56,Emergency
1.314,0.0128,0,0.5,0.306,-0.78,93.34,Standard
1.195,0.0104,0,-0.32,0.227,-0.97,150.59,Peak_Demand
0.922,0.0183,1,-0.28,0.312,0.75,190.08,Emergency
1.01,0.0094,0,-0.31,0.314,-1.89,166.74,Peak_Demand
0.718,0.022,0,-0.04,0.344,-2.37,52.71,Off_Peak
1.135,0.0118,0,-0.13,0.151,1.41,27.9,Off_Peak
0.726,0.0234,0,0.31,0.328,3.69,108.75,Standard
1.245,0.0213,0,-0.75,0.041,3.35,16.0,Off_Peak
1.145,0.0082,0,-0.12,0.305,-1.45,84.59,Standard
1.213,0.0124,0,-0.78,0.325,-1.9,51.81,Off_Peak
1.135,0.0104,0,0.76,0.14,-2.11,204.83,Emergency
1.126,0.0247,0,0.63,0.049,-0.23,94.0,Standard
1.275,0.012,0,0.14,0.133,1.82,42.9,Off_Peak
1.244,0.0088,1,0.03,0.339,2.02,68.97,Off_Peak
0.741,0.0115,0,-0.12,0.154,4.07,207.22,Emergency
0.972,0.0047,0,0.59,0.259,3.18,116.26,Standard
0.995,0.0145,0,-0.07,0.164,3.14,107.39,Standard
0.75,0.0181,0,-0.41,0.052,2.58,101.45,Standard
0.778,0.0224,1,0.1,0.183,-0.05,141.09,Peak_Demand
1.31,0.0198,0,0.27,0.182,4.1,157.69,Peak_Demand
0.854,0.0124,1,-0.27,0.21,4.07,170.29,Emergency
1.254,0.0081,0,-0.21,0.206,3.45,48.1,Off_Peak
0.785,0.0175,0,0.63,0.241,4.53,199.08,Emergency
0.765,0.0147,1,0.57,0.288,2.55,170.42,Emergency
0.883,0.01,1,0.75,0.343,2.09,124.45,Peak_Demand
0.877,0.0118,0,-0.45,0.073,2.58,117.88,Standard
0.95,0.0156,0,0.48,0.268,-1.11,29.74,Off_Peak
0.892,0.0037,0,-0.17,0.047,-1.94,206.57,Emergency
1.044,0.0149,1,0.59,0.22,-1.01,110.21,Standard
0.741,0.014,1,0.78,0.167,-0.77,219.07,Emergency
1.191,0.0124,1,-0.37,0.326,-0.24,18.06,Off_Peak
0.852,0.014,0,0.14,0.231,0.24,125.21,Peak_Demand
1.263,0.0245,1,-0.67,0.186,3.06,119.82,Peak_Demand
1.257,0.0047,0,0.66,0.114,0.32,198.89,Emergency
0.69,0.0134,0,-0.33,0.128,4.46,105.04,Standard
1.226,0.0178,0,-0.17,0.303,4.32,121.61,Peak_Demand
1.112,0.0137,0,-0.74,0.103,4.68,166.98,Peak_Demand
0.704,0.0104,0,0.05,0.168,0.1,170.0,Emergency
0.878,0.0191,1,0.12,0.259,3.69,123.63,Peak_Demand
1.041,0.018,1,0.39,0.116,3.7,160.25,Peak_Demand
1.06,0.0055,0,-0.67,0.282,2.49,75.29,Off_Peak
1.116,0.0246,0,0.27,0.113,1.13,119.87,Peak_Demand
1.085,0.0198,1,-0.2,0.186,0.68,25.05,Off_Peak
1.281,0.0006,0,0.59,0.231,2.18,168.73,Peak_Demand
1.152,0.0142,0,-0.09,0.117,0.36,115.01,Standard
1.157,0.0192,0,0.34,0.248,-2.44,89.52,Standard
0.75,0.0065,0,0.4,0.255,2.94,104.81,Standard
0.996,0.0189,0,0.4,0.16,-1.84,25.3,Off_Peak
1.235,0.0012,0,0.34,0.189,4.79,42.0,Off_Peak
0.692,0.0024,1,0.06,0.061,1.57,44.8,Off_Peak
0.797,0.0193,0,0.27,0.067,4.2,91.45,Standard
0.752,0.0246,0,-0.28,0.276,2.31,192.75,Emergency
1.226,0.013,0,0.07,0.045,3.78,199.67,Emergency
0.711,0.0077,1,-0.46,0.106,2.82,196.05,Emergency
1.0,0.0079,0,-0.23,0.147,0.49,144.1,Peak_Demand
1.002,0.0056,0,0.75,0.048,-2.01,59.88,Off_Peak
1.169,0.0018,0,0.41,0.032,-1.79,147.0,Peak_Demand
0.902,0.0243,0,-0.52,0.024,-1.09,189.88,Emergency
1.276,0.0023,1,-0.68,0.211,4.67,33.17,Off_Peak
0.871,0.013,1,0.63,0.349,1.73,139.97,Peak_Demand
1.033,0.0105,1,0.27,0.069,2.18,65.96,Off_Peak
0.717,0.0146,0,-0.75,0.243,-1.03,79.78,Off_Peak
1.061,0.0162,0,0.53,0.22,-1.97,89.95,Standard
1.092,0.004,0,-0.63,0.223,1.3,109.97,Standard
1.154,0.0124,0,0.56,0.292,3.88,167.78,Peak_Demand
